uid,room_id,name,guard_num,gid
8199,598192,紫苏九月,104,76
1951806734,25931413,低调的十五,104,76
20333340,519714,解说拒绝,104,76
391442969,24837409,吃巴豆的辛吉德,104,76
2093232,994304,轻叹ww,104,76
3949941,22907643,阳光男孩小丑熊,104,76
149890182,4894773,老师好我叫飞莎儿,104,76
303740978,22420244,凉介呀i,104,76
11941320,1507681,惠飞须泽羽墨,104,76
32378456,3907944,慢慢Aha,104,76
867152,81414,蕾蕾大表哥,104,76
17967817,443197,大哥L-,104,76
607286,757349,i御十二,104,76
97594779,24543023,深渊推土机,103,76
26882738,25340680,多冰3分甜,103,76
436076533,24481792,乔不丝Lan,103,76
588729506,26466470,枯叶耶耶,103,76
344132849,23328890,伊希莉Isilee,103,76
1612660050,23636360,温简ww,103,76
26413405,173586,恩骨,103,76
196391606,21799085,阳光life丶,103,76
1245595065,25854426,白屿Baille,103,76
1954091502,25788785,岁己SUI,103,76
326229399,23945197,Zarz蛋蛋解说,103,76
382696576,23335326,一只豆婲,103,76
1802654492,23777594,七禾いえ,103,76
488175455,21782115,米卡丘Mica,103,76
3169373,6108362,梅利奥逹斯,103,76
23671902,21152895,琴仔儿不机智,103,76
8591769,22311547,金刚芭比橙月儿,103,76
7214253,11042241,不治原GM,103,76
3493082150472583,26424886,甜心の小可爱,102,76
27322128,21896446,沐小雪_Official,102,76
202692252,12216449,二二秋-,102,76
3461570239662267,26059927,小鸟游千岁,102,76
1451990498,22894174,灰酱啊,102,76
6699767,713435,未未昭,102,76
2011822166,22834435,爱迟到的张锦锦,102,76
509050400,21879412,雷柏磷ボリン,102,76
501271968,21936054,静哔哔哔哔,102,76
2627136,53870,做一个老Yinzei,102,76
11253297,392523,多多poi丶,102,76
921044,81115,是Sumimi呀,102,76
3570093,1589452,春野萌Moe,102,76
3119241,5101555,某欧洲的一方通行,102,76
1899328430,23904692,珍珍老师东方舞,101,76
3493084836924261,26465163,是小汐姬,101,76
474566624,25149450,琉夏来了,101,76
539095599,22126448,两瓶芬达,101,76
184955800,5297113,传奇单职业,101,76
689274741,22802883,猫白ShiroNeko,101,76
12939237,264788,有棵里里,101,76
14364573,952982,主播洛洛,101,76
35389902,22450509,Winterlux,101,76
1323227037,23252619,山椒阿露波Arpa,101,76
1394160176,23808442,纱音_Syanon,101,76
22840678,2930168,喵呐喵喵喵,101,76
491464036,23496348,失眠小追,101,76
276187015,9361321,笠崽,101,76
544597576,22333066,闹姐闹沉沉,101,76
2248410,7331822,小菜刀夫斯基,101,76
103326645,22218443,哟童童,101,76
6639802,12265,陈哥1,101,76
922545,75031,yoyo鼠です,101,76
65764710,21486735,草莓味の喵喵酱,101,76
23400436,883802,x羊小雪X,101,76
45280964,1420300,晚晚Ailsa,101,76
512192764,22683055,大鹅炖蘑菇吗,100,76
26283720,4627691,黑川介ovo,100,76
104138094,25042360,伊尔比思,100,76
418988661,21762179,GAN电脑实验室,100,76
524222835,24971588,CSGO解说信仰,100,76
7847261,24561443,陆识衣和王严言,100,76
1142990084,24915256,蓝葵SAMA,100,76
1631310643,25594108,Zoe芬妮,100,76
670725269,22479430,夜羽玲夕,100,76
140226477,8211647,笑微微来了,100,76
476488791,24834781,小乔-QaQ,100,76
25072735,22920648,你听来了,100,76
702411002,23351434,怦怦梨,100,76
2009929,68519,咝小喵MAO,100,76
121487111,4585823,东野凹,100,76
33148060,304377,angela刚刚,100,76
407414188,22305468,真香KK,100,76
15076745,364027,彩虹酱哇,100,76
6964745,5611881,有希小酱,100,76
23496660,3089882,刘小哲tetsu,100,76
2128310,399854,夕兔_H2,100,76
34856382,2273292,霏箬,100,76
1646746,563689,菜崽,100,76
21626457,1620209,胖丁咸宁七,100,76
39334147,1250611,裕刺Fy,100,76
3493081699584572,26417727,渣渣米ovo全能女主播,99,76
91136837,25810471,花兮_honoka,99,76
13014543,21678586,矢神水心Channel,99,76
1372675026,24946274,艾什_Ash_Halibel,99,76
520944658,24467820,白玉7,99,76
15251488,474301,比熊比熊小,99,76
1160825658,23922865,洛音音,99,76
1993302,1575100,米神哟,99,76
