uname,mid,roomid,follower,guardNum,coefficent,gid
茉里Mari,690608686,22605463,95691.0,80,17.126962146936762,
adogsama,317000,10545,107097.0,79,23.266481522794948,
祈Inory,234782,544625,773555.0,79,148.62488008618777,
楚天明c,280135728,21379697,108615.0,78,23.158808224331324,
果汁erR,25032753,5312656,112924.0,77,24.62541734007948,
榛葉nami,1802392,9395707,270039.0,77,79.90079400441084,
你的可樱已上线,720964,1521498,343752.0,76,94.20264230450323,
永恒娘Official,1377212676,23945583,252816.0,76,74.72245240680707,
拼音音,2029930,122300,,74,,75.0
花满Official,690804827,22545602,177717.0,73,49.37588268510467,
艾因Eine,421267475,21403601,220522.0,73,63.057923851336795,
喵波菈-bola,296880903,23575177,155157.0,72,39.76902266326681,
Ruriko琉璃子Channel,47441,54897,339915.0,72,89.49098486237438,
幽乜Yume,1164975438,22809132,121301.0,72,24.16232348760684,
花玲Karin,474593909,21622680,172399.0,71,45.449737448737096,
晨悠光,2140412037,24485048,163539.0,69,40.10474940726647,
怠惰V_official,1070733875,23238218,325724.0,69,83.7872798578909,
罗菈Rola,2052064438,22824550,100113.0,69,8.991076031849957,
羽咲Rabi_Official,396316042,23199554,88581.0,68,0.23204706520039053,
杆菌无敌,164627,26057,,67,,75.0
綾奈奈奈,186463,337374,188829.0,67,47.22105757239103,
天曰小雏Official,2007781080,22989215,219386.0,66,55.73048011266326,
希亚娜Ciyana,1926156228,22608112,185726.0,65,44.17055924287058,
木子喵neko,27735697,169669,149503.0,64,29.4155482209743,
召唤师yami,487902,7595278,103699.0,64,6.22230741147132,
酒酒井Anri,6640131,15748,159383.0,64,33.47274570783452,
千春_Chiharu,558070433,22389319,104140.0,63,5.491356453850813,
瀬兎一也_Official,1006140314,24921679,378165.0,63,87.2516452545891,
量子少年-慕宇,1230039261,23905374,,61,,75.0
夏诺雅_shanoa,1612112,1321846,325018.0,59,73.64971253455349,
中国BOY超级大猩猩,562197,65515,,59,,75.0
温之九丶,58485079,2098875,119772.0,58,9.358086597688725,
花园Serena,380829248,14327465,611642.0,57,111.73541361909179,
YUKIri,512480,29183,539407.0,56,102.76750728690206,
喵田弥夜Miya,846180,3012597,126544.0,56,10.845095364933172,
步玎Pudding,416622817,21413565,367163.0,55,77.3797781858841,
天音マリー,1801527765,24813281,149141.0,55,20.261848088103648,
里奈Rina,7591465,873642,126521.0,55,9.83357105296568,
氿氿ayumiko,2482644,943565,201139.0,54,38.22504448657867,
老番茄,546195,21852,,54,,75.0
Elysian绿豆,42455,26445,,54,,75.0
鹤祁_Tsuruki,2878144,708397,119105.0,54,5.00403066178626,
vivian198808,1433840,847674,113224.0,54,1.7936258686269184,
花园花玲,7966,597450,1523600.0,53,165.5995849613895,
NoWorld_Official,434662713,21448649,119944.0,50,1.4490676074784687,
齐格鲁_Official,1141334416,25155352,134872.0,49,7.885964532023422,
鹿乃ちゃん,316381099,15152878,1946324.0,48,176.12412167369484,
卡特亚,43222001,1455691,,47,,75.0
白灯不拖更,8353198,2662397,212648.0,46,33.7527476154454,
奏Kanade_Official,1027871419,23052050,342641.0,45,62.997402852723326,
❀Sakulaˇ小舞,264161,837039,335623.0,44,60.68535598141716,
Sawako碎花子,477007,3649650,156993.0,41,9.514841931939259,
茉吱Mojuko,1968783589,22926711,526658.0,41,86.25104227591805,
鹿子kanoco,26541399,360169,294634.0,41,49.427214460730625,
本气黑猫,38829,15536,660920.0,40,99.64800444729633,
子花酱Hanako,75937648,21725187,236714.0,39,33.55014341832032,
零诺Reino,504674421,23588360,,35,,75.0
AIChannel官方,1473830,1485080,1859091.0,34,159.21692692955332,
Overidea_China,18149131,704808,834987.0,33,107.46986896945964,
一支橘猫,4365978,193520,192367.0,32,13.397962058309986,
心斎桥オクトOfficial,17492464,3827429,218240.0,32,21.398431440600575,
ywwuyi,1472906636,22727121,198580.0,32,15.413260125252918,
勺Shaun,666726801,22470208,291579.0,31,38.76640088795773,
纸灵灵,522236776,22031076,,30,,75.0
安然露娜秀,1865144204,23090051,,30,,75.0
青衣才不是御姐呢,1774758,5311231,,30,,75.0
飞社长,11100920,3670448,,30,,75.0
Maria_M_Official,1217057066,25977227,206658.0,30,15.941221728164464,
三世扶苏,107642093,4253846,,30,,75.0
物理魔法使哈娜酱,3009298,2292462,163898.0,29,0.24377223681858595,
★⑥檤轮囬★,295723,16405,,28,,75.0
有栖Mana_Official,3149619,3822389,684554.0,28,89.87554617298974,
鹤倦,484833532,21743144,,27,,75.0
伊万_iiivan,510047,22333522,570929.0,26,76.3682767269745,
呆萌加加,405281725,21305876,,26,,75.0
小恶魔channel,6483727,3558274,208824.0,26,12.602264295945702,
露珀塔_Ruperta,2100944625,22700040,188881.0,25,5.238514351511753,
浪浪咕咕咕,19091473,3297495,,25,,75.0
原神,401742377,21987615,15080260.0,24,281.93208005652014,
米哦Official,1352646,74571,192689.0,24,5.503997568774366,
@黎之恒,12330804,59803,625394.0,23,79.1450940483353,
英雄联盟-猩猩诺手,628264879,22422964,,23,,75.0
温北第一马可,374641630,23079236,,23,,75.0
我是碎心啊,347787958,23043438,,23,,75.0
ShizukouOfficial,1042854135,23594422,291452.0,22,29.73878040078864,
一只叨刀,1368546049,22993151,,22,,75.0
桀骜文风,1556938849,22802536,,22,,75.0
美波七海-official,692283831,22571958,230928.0,22,14.981203415305686,
