uname,mid,roomid,follower,guardNum,coefficent,gid
Mia米娅-,780791,5561470,29298.0,186,48.08640541056798,
织月黛黛,28278764,23578004,166311.0,185,157.17037885976504,
CSGO--德云两鬼,384942089,22889518,,184,,75.0
绯赤艾莉欧_NHOTBOT,407106379,21396545,451065.0,182,217.42785082581906,
是咸鱼菌鸭,379181177,22089255,,181,,76.0
Fulgur-Official,1281805827,25734481,228887.0,180,172.41836727539066,
我是佩奇ovo,383487730,25481321,,179,,76.0
小酥软软的,1066634989,25587625,,179,,76.0
阿帅派克,395089518,21733448,,178,,76.0
小霖QL,36047134,8324350,,175,,76.0
万拓普TOP,2072717192,23969425,90546.0,175,108.62308244947474,
绫濑光Official,6747203,3428783,102846.0,174,115.69863937340608,
桃星Tocci,690608704,23017349,139211.0,173,133.89349936387453,
库库_sama,5408366,5194110,,172,,76.0
丧妹有点跳,4548018,48499,,171,,76.0
魔狼咪莉娅,1838190318,24643640,136350.0,171,130.57695661655475,
烧什么杯,1072466146,24952218,,170,,76.0
佐仓•M•沙耶加,72960,18060,106054.0,170,113.64601314329514,
岱川Doris,1643484295,22900071,122078.0,170,122.56714039757935,
托尔赛斯Taurus,487402608,26336970,47459.0,170,62.66720052549829,
真夜白音shirone,1434027068,24640652,,169,,76.0
机智大灯灯,16510117,623698,30517.0,169,33.670884288918046,
你的影月月,431073645,21414905,,169,,76.0
性巴莎拉,2059591,271628,,168,,76.0
这是你的氟西汀,389528163,22954659,,167,,76.0
小眠yo,610360774,25017682,,167,,76.0
音酱呀丶,447525119,23931203,,167,,76.0
shoto_official,1601895109,25245573,1336093.0,167,271.27349930694436,
kk不是对儿k宝可梦,14112799,2704487,,166,,76.0
续杯牛奶ii,16509116,3256471,,166,,76.0
唐九夏还想再躺一下,1219196749,23303212,217946.0,165,154.312965135755,
戒社,27492426,22188468,,165,,76.0
薇Steria,1112031857,22924075,44107.0,165,53.02329758843314,
-纯黑-,585267,1023,,165,,75.0
