source,target,weight,src,dst
109,37,0.27863,花丸晴琉Official,HiiroVTuber
31,53,0.27831,魔狼咪莉娅,夏诺雅_shanoa
32,46,0.27698,夢乃栞Yumeno_Shiori,九重紫Official
31,32,0.27608,魔狼咪莉娅,夢乃栞Yumeno_Shiori
109,22,0.27564,花丸晴琉Official,眞白花音_Official
110,13,0.27524,虚拟小萨,阿萨Aza
111,59,0.275,木糖纯Official,花花Haya
58,105,0.27434,赵俊日,解说Mage
84,86,0.27397,宴宁ccccc,多多poi丶
26,69,0.27342,椎名菜羽Official,美月もも
26,32,0.27247,椎名菜羽Official,夢乃栞Yumeno_Shiori
50,66,0.27188,勾檀Mayumi,星弥Hoshimi
109,101,0.27137,花丸晴琉Official,物述有栖Official
54,101,0.27092,花园Serena,物述有栖Official
112,87,0.27083,有棵里里,希月萌奈
43,87,0.27055,雪狐桑,希月萌奈
49,70,0.27053,绯赤艾莉欧_NHOTBOT,星宮汐Official
75,34,0.27019,冰糖IO,C酱です
50,18,0.26991,勾檀Mayumi,小可学妹
54,26,0.26895,花园Serena,椎名菜羽Official
54,45,0.2683,花园Serena,hanser
113,91,0.26821,夏川玥玥Official,白神遥Haruka
114,45,0.26779,祖娅纳惜,hanser
66,48,0.2675,星弥Hoshimi,星汐Seki
113,11,0.26695,夏川玥玥Official,咩栗
41,11,0.2665,东爱璃Lovely,咩栗
115,60,0.26647,艾尔莎_Channel,瓶子君152
116,117,0.26636,小绝,EdmundDZhang
32,101,0.26627,夢乃栞Yumeno_Shiori,物述有栖Official
49,19,0.26618,绯赤艾莉欧_NHOTBOT,阿梓从小就很可爱
115,59,0.26561,艾尔莎_Channel,花花Haya
26,38,0.26537,椎名菜羽Official,雫るる_Official
64,48,0.26502,艾露露Ailurus,星汐Seki
118,92,0.2643,草莓猫Taffy,永雏塔菲
4,65,0.26403,薇Steria,小柔Channel
119,68,0.26347,飙黑车的司机,凉哈皮
40,35,0.26278,红晓音Akane,帅比笙歌超可爱OvO
120,37,0.2627,猫芒ベル_Official,HiiroVTuber
108,85,0.26254,穆小泠Official,早稻叽
4,78,0.26185,薇Steria,桃几OvO
54,106,0.26111,花园Serena,神楽Mea_NHOTBOT
121,37,0.26077,恋乃夜舞_propro,HiiroVTuber
84,45,0.25904,宴宁ccccc,hanser
75,3,0.25886,冰糖IO,嘉然今天吃什么
105,57,0.25846,解说Mage,LGDPYL116
54,23,0.25817,花园Serena,鈴宮鈴
31,38,0.25795,魔狼咪莉娅,雫るる_Official
20,106,0.25753,乙女音Official,神楽Mea_NHOTBOT
56,55,0.25747,露米Lumi_Official,dodo_Official
101,38,0.25714,物述有栖Official,雫るる_Official
54,32,0.25686,花园Serena,夢乃栞Yumeno_Shiori
66,18,0.25667,星弥Hoshimi,小可学妹
20,70,0.25662,乙女音Official,星宮汐Official
