id,name,value,category
60,瓶子君152,16560,20
106,神楽Mea_NHOTBOT,4590,2
129,小铃久绘Official,2185,1
131,v猫诺v,2775,36
133,成都AG超玩会丶久诚,4303,12
134,奈姬niki,3720,1
135,Fulgur-Official,6838,17
128,泛式,17580,20
137,黑桐谷歌,4170,22
138,AIChannel中国绊爱,2820,13
139,兰音Reine,3914,1
140,茉吱Mojuko,3590,2
141,荔枝Kouun,5498,11
96,星瞳_Official,7786,3
88,神奇陆夫人,13396,7
92,永雏塔菲,13699,3
132,依然小智,3228,9
143,卡特亚,5040,16
144,陆鳐LuLu,2799,1
74,扇宝,7555,1
37,HiiroVTuber,14340,2
145,还有醒着的么,4199,1
146,sh7adow,3960,23
147,OldBa1,11186,10
136,Vox_EN_Official,8977,17
130,梦音茶糯,6908,1
9,少年Pi,12570,7
19,阿梓从小就很可爱,24960,3
153,许琪i,3522,37
149,折原露露,4617,1
152,冥冥meichan,4558,1
154,泰蕾莎Channel,4110,38
22,眞白花音_Official,17550,2
52,Asaki大人,20340,25
155,啵啵小狗341,4928,3
156,清歌清歌-,2270,39
157,痒局长,3000,22
148,老骚豆腐,14430,10
98,AG超玩会王者荣耀梦泪,18390,12
158,守护茶茶,5039,24
159,猫神辣椒酱,5040,24
80,大祥哥来了,14460,16
151,LGD_Ame,7465,19
160,ywwuyi,2255,40
161,战术级子轩,4705,41
163,夏夏大魔王_Axx,3140,42
165,小深深儿,3295,44
34,C酱です,28665,7
167,-纯黑-,4650,46
117,EdmundDZhang,30270,7
168,泪腺战士,9035,47
150,库库_sama,11993,11
13,阿萨Aza,18930,4
68,凉哈皮,20030,10
169,不稳定发电机,3240,30
45,hanser,23250,8
170,冯提莫,2490,48
173,西安WE丶Best,3638,12
174,自由魂儿儿儿,6729,50
162,两仪滚,13808,25
172,雷雨Lyy,10470,26
176,棋手战鹰,2549,51
179,丧妹有点跳,2540,54
181,飞社长,3060,56
142,逍遥散人,39570,5
182,CSGO久菜合子,7530,57
166,狗狗狗雨,7377,45
177,烛灵儿Hikari,5213,52
184,Kiki向前冲呀,2189,59
185,火龙果说电影,4825,60
175,小霖QL,13680,26
186,你的影月月,5193,61
171,菠萝赛东°,6033,49
178,不知原深,7131,53
164,longdd黄翔,8490,43
183,CSGO--德云两鬼,13168,58
180,__小黄瓜__,5340,55
1,老实憨厚的笑笑,50010,29
100,魔法Zc目录,51360,33
